timestamp,service,cpu_usage_pct,memory_usage_pct,error_rate_pct
2026-09-20T04:44:02Z,payment-gateway,74.22,14.1,1.46
2026-09-20T15:13:57Z,search-api,21.26,81.88,0.007
2026-09-19T19:05:35Z,inventory-api,49.79,49.89,1.216
2026-09-20T09:59:47Z,notification-worker,64.35,46.3,1.202
,notification-worker,,60.29,0.415
2026-09-19T20:52:41Z,payment-gateway,81.84,63.36,0.597
2026-09-19T21:46:28Z,checkout-api,42.53,24.26,1.222
2026-09-21T13:31:42Z,notification-worker,75.86,24.19,1.158
2026-09-20T00:59:07Z,recommendation-engine,31.94,39.49,0.135
2026-09-21T10:17:17Z,checkout-api,31.35,20.76,0.549
2026-09-21T08:24:27Z,payment-gateway,67.62,58.96,1.459
2026-09-22T18:05:20Z,checkout-api,48.53,65.09,1.973
2026-09-21T14:32:19Z,recommendation-engine,33.48,52.03,0.708
2026-09-21T11:10:26Z,inventory-api,51.77,60.55,0.36
2026-09-21T21:48:06Z,auth-service,93.13,10.13,17.509
,payment-gateway,,89.92,0.668
2026-09-20T14:42:41Z,auth-service,76.12,34.62,0.648
,auth-service,,67.95,0.058
2026-09-22T13:21:45Z,search-api,48.12,47.96,7.715
2026-09-21T03:44:43Z,recommendation-engine,53.33,36.81,0.828
2026-09-22T07:00:52Z,notification-worker,31.94,68.0,1.072
2026-09-21T20:07:12Z,auth-service,76.96,81.04,1.939
2026-09-19T20:28:26Z,auth-service,93.53,60.12,1.142
2026-09-21T13:32:40Z,checkout-api,82.81,70.12,0.629
,checkout-api,49.73,29.01,1.901
2026-09-20T21:27:13Z,recommendation-engine,8.37,26.17,15.12
2026-09-22T12:06:03Z,notification-worker,18.87,37.21,1.748
2026-09-20T18:02:24Z,payment-gateway,74.25,17.86,1.032
2026-09-20T09:08:43Z,search-api,8.29,41.01,0.232
2026-09-19T21:24:37Z,search-api,81.33,79.75,1.778
,search-api,72.1,11.8,1.278
2026-09-20T14:20:57Z,notification-worker,33.72,45.29,0.299
2026-09-19T19:18:54Z,notification-worker,55.37,18.19,1.099
2026-09-22T14:53:29Z,search-api,77.36,55.93,0.623
2026-09-21T09:34:04Z,inventory-api,9.57,12.32,0.101
2026-09-20T00:28:30Z,inventory-api,40.27,66.37,1.259
2026-09-21T02:40:08Z,notification-worker,37.01,36.59,1.517
2026-09-19T23:55:25Z,recommendation-engine,73.8,55.42,21.047
2026-09-20T01:17:11Z,inventory-api,32.94,61.55,0.941
2026-09-20T04:40:10Z,recommendation-engine,85.61,30.64,0.367
2026-09-20T18:15:28Z,recommendation-engine,82.47,35.98,0.131
21/09/2026 05:03,inventory-api,81.12,32.58,1.149
2026-09-20T01:59:39Z,auth-service,55.05,15.67,0.922
2026-09-20T11:34:36Z,notification-worker,26.93,22.72,0.132
2026-09-21T20:44:38Z,notification-worker,43.8,88.42,0.684
2026-09-20T06:48:28Z,search-api,65.26,69.15,1.673
1790008592,inventory-api,,17.81,0.616
22/09/2026 05:28,notification-worker,,40.31,1.32
2026-09-21T12:29:39Z,recommendation-engine,62.25,10.01,0.298
2026-09-20T22:36:06Z,notification-worker,57.01,25.65,0.633
2026-09-22T12:42:06Z,search-api,32.41,85.47,1.965
2026-09-20T00:42:21Z,notification-worker,5.73,88.91,0.255
2026-09-20T21:05:24Z,notification-worker,92.11,10.07,1.957
1789926314,recommendation-engine,7.81,44.54,1.25
2026-09-20T09:35:04Z,search-api,20.61,21.13,1.687
2026-09-21T00:35:10Z,payment-gateway,30.96,79.82,0.023
2026-09-20T04:41:22Z,search-api,84.64,62.63,0.272
2026-09-22T04:53:27Z,inventory-api,82.41,81.49,1.861
2026-09-21T03:17:31Z,notification-worker,43.17,75.61,0.451
2026-09-19T18:44:42Z,notification-worker,49.83,68.47,0.539
2026-09-21T12:10:22Z,auth-service,8.01,13.03,0.737
2026-09-22T16:14:08Z,search-api,12.21,68.41,1.719
2026-09-20T14:33:03Z,inventory-api,51.53,51.87,0.49
2026-09-21T18:32:09Z,search-api,12.03,60.7,0.625
not-a-timestamp,notification-worker,75.07,47.51,0.938
2026-09-22T04:19:44Z,auth-service,31.03,12.83,1.499
2026-09-21T11:15:07Z,auth-service,10.53,47.85,0.103
2026-09-22T05:06:22Z,search-api,61.19,32.95,15.112
2026-09-20T14:26:11Z,auth-service,16.93,32.48,0.028
,notification-worker,71.51,62.73,0.351
2026-09-22T08:58:26Z,checkout-api,35.86,16.75,1.868
2026-09-21T06:19:04Z,recommendation-engine,94.42,71.63,0.88
2026-09-20T09:33:29Z,notification-worker,71.09,37.61,1.511
,inventory-api,40.89,34.11,1.505
2026-09-21T04:45:45Z,auth-service,18.06,79.62,23.544
2026-09-21T19:36:37Z,auth-service,91.56,64.63,23.354
2026-09-22T15:49:52Z,recommendation-engine,43.86,83.44,0.67
2026-09-20T01:21:37Z,auth-service,63.89,41.29,1.498
2026-09-21T13:04:25Z,recommendation-engine,22.54,36.99,0.36
2026-09-21T19:11:45Z,checkout-api,79.85,10.96,7.078
2026-09-20T10:10:53Z,search-api,30.5,25.45,6.839
2026-09-21T18:01:00Z,recommendation-engine,24.51,57.95,1.916
,payment-gateway,38.84,71.11,1.606
2026-09-20T12:39:05Z,auth-service,47.03,84.89,1.845
2026-09-21T01:17:46Z,search-api,86.31,71.59,0.324
not-a-timestamp,checkout-api,,36.61,24.112
1790109084,payment-gateway,,24.28,0.288
2026-09-22T12:39:30Z,inventory-api,69.39,18.26,16.427
2026-09-21T02:40:20Z,checkout-api,85.69,21.91,1.866
2026-09-20T13:36:19Z,payment-gateway,68.0,82.37,1.031
2026-09-21T05:56:03Z,inventory-api,44.25,77.52,1.571
2026-09-19T18:26:42Z,inventory-api,90.87,75.44,1.134
2026-09-20T20:20:23Z,auth-service,66.37,42.05,1.918
,recommendation-engine,,16.44,1.533
not-a-timestamp,search-api,22.19,65.67,1.261
2026-09-21T02:05:49Z,search-api,22.05,12.86,24.928
2026-09-20T22:30:48Z,checkout-api,76.35,61.47,1.93
2026-09-22T16:35:16Z,checkout-api,8.33,14.48,0.086
,search-api,65.06,46.67,1.749
2026-09-19T23:26:58Z,checkout-api,71.19,49.11,23.144
2026-09-20T11:52:32Z,search-api,63.39,11.15,1.809
2026-09-20T01:17:19Z,inventory-api,60.01,76.83,21.349
1790008304,recommendation-engine,60.41,15.05,0.675
2026-09-21T12:08:41Z,notification-worker,17.36,76.91,1.528
2026-09-20T18:38:05Z,checkout-api,15.87,21.3,1.393
